Sig_Gene	Cell_type	Level	Rank	Mean	Std	Cell_type_unseparated
Plekhg1	Endo	0	43	2.099181148141952	1.9565240126645644	
Itm2a	Endo	0	44	10.074756149231591	9.404838986333294	
Hmcn1	Endo	0	45	4.688144384421194	4.389532929748532	
Afap1l1	Endo	0	46	1.8293160073807295	1.7157819339966798	
Ets1	Endo	0	47	2.695207121307356	2.542473981781588	
S1pr1	Endo	0	48	3.3462813621979737	3.1665177856671822	
Fn1	Endo	0	49	3.0438049022058156	2.8849925449430622	
Cldn5	Endo	0	50	7.642819269409181	7.248721156269594	
Podxl	Endo	0	51	1.6529812937308201	1.5677688489089914	
Nfkbia	Endo	0	52	4.183418862588029	3.992796385778329	
Ocln	Endo	0	53	2.0845010035868774	2.004634171595106	
Eogt	Endo	0	54	1.6932064078591011	1.634046393572722	
Prom1	Endo	0	55	2.308058790312094	2.23485431840242	
Id3	Endo	0	56	5.247731122757918	5.091711652728808	
Itga6	Endo	0	57	2.3121433545067878	2.2495956210642793	
Pdgfd	Endo	0	58	3.821621056755468	3.729467224036377	
Adipor2	Endo	0	59	2.584062123183847	2.536333708711203	
Bsg	Endo	0	60	39.46307964913537	38.8947663396213	
Mtus1	Endo	0	61	2.0948689656914303	2.0649219877286895	
Acvrl1	Endo	0	62	1.7105517759776907	1.6971802212458926	
Mcc	Endo	0	63	2.955324616072146	2.9397025163835853	
Lims2	Endo	0	64	1.89519481320325	1.8853787489260179	
Mcl1	Endo	0	65	2.3188117713963163	2.3084979052120254	
Anxa3	Endo	0	66	2.951972999104174	2.942176794826114	
Ly6e	Endo	0	67	5.5798821613812395	5.5920935621259735	
Id1	Endo	0	68	10.005674579860843	10.02906521929586	
Srgn	Endo	0	69	1.9393709252252962	1.967271647665083	
Ndrg1	Endo	0	70	2.5758081095493375	2.6382413381336183	
Ramp2	Endo	0	71	6.37553954795234	6.541450629755715	
Parvb	Endo	0	72	1.6529042676815822	1.7099041732640496	
Neat1	Endo	0	73	1.5444205238897808	1.6016543821146436	
Cttnbp2nl	Endo	0	74	2.042258082925705	2.130161378279564	
Rhob	Endo	0	75	2.8618112544859087	3.003341464711492	
Emcn	Endo	0	76	2.411574702938531	2.5437847096933766	
Fgd5	Endo	0	77	1.2705511433530534	1.3412179510223021	
Elk3	Endo	0	78	1.4956032765217235	1.5812181644764303	
Adgre5	Endo	0	79	1.3277606336063028	1.408431445238657	
Ctsh	Endo	0	80	1.532583401748209	1.6288030456274687	
Pdlim5	Endo	0	81	2.5412000401315216	2.708092105275096	
Ltbp4	Endo	0	82	1.2382265997670334	1.3267391678766955	
Cdh5	Endo	0	83	1.6151013558250975	1.736066577678259	
Dennd3	Endo	0	84	1.172830766854697	1.2628977989904009	
Vwa1	Endo	0	85	2.623551034291849	2.8271788825771202	
Nxn	Endo	0	86	1.8398706024833003	1.9879980251417462	
Pglyrp1	Endo	0	87	6.461937632680843	7.049474256650835	
Itih5	Endo	0	88	2.5385195862324097	2.7820066093784863	
Erg	Endo	0	89	1.4369446378551978	1.5773776761803129	
Clic5	Endo	0	90	1.692560658523164	1.863159783712055	
Tsc22d3	Endo	0	91	2.510941791914008	2.801635874132988	
Swap70	Endo	0	92	1.2809446889045932	1.430353589967357	
Slc9a3r2	Endo	0	93	2.977653839375978	3.33019519090919	
Klf4	Endo	0	94	3.016152482531461	3.3866203089552966	
Foxq1	Endo	0	95	1.4572173559346895	1.637911607165809	
Polk	Endo	0	96	1.5135838630911553	1.7094793804367578	
Crip2	Endo	0	97	2.9554390941913153	3.345568796533304	
Msn	Endo	0	98	1.5383913627777914	1.7415938987518589	
Wfdc1	Endo	0	99	1.5765017401569552	1.7852389836555327	
Cd34	Endo	0	100	2.0750712695897056	2.3508330113264755	
Nos3	Endo	0	101	1.1751578554911033	1.3328095853494728	
Ly6c1	Endo	0	102	16.76609506973959	19.030726638732663	
Nxpe2	Endo	0	103	1.2323556807808178	1.4045701461775324	
Sh2d3c	Endo	0	104	0.8964068319128637	1.025575109891884	
Fcgrt	Endo	0	105	1.4812980694231601	1.7041150830397214	
Crybg3	Endo	0	106	1.236341447802473	1.4388911458566642	
Rasgrp3	Endo	0	107	1.69890629849918	1.9813989728410555	
Pttg1ip	Endo	0	108	1.1261046190461599	1.3157086753992528	
Sparc	Endo	0	109	2.607791156038562	3.0505308352605405	
Tpm4	Endo	0	110	1.6968971554863916	1.9873491238318572	
Tmem204	Endo	0	111	1.6721413328180745	1.9589864015604215	
Zfp366	Endo	0	112	1.7806407761832934	2.090933799608073	
Rai14	Endo	0	113	1.4948674436346265	1.7629596077790166	
H2-K1	Endo	0	114	1.6253872996292484	1.9172254875524497	
Gimap6	Endo	0	115	1.5183590893133183	1.8016581073083269	
Fmnl3	Endo	0	116	0.9301391598161892	1.1094229932174984	
Cast	Endo	0	117	0.9607855799065457	1.1492788369785243	
Fas	Endo	0	118	1.3875557224189417	1.6623825120136966	
Mal	Endo	0	119	3.030600980226612	3.6321669354187835	
Golim4	Endo	0	120	1.3624706370578374	1.6347949574841734	
Pdgfb	Endo	0	121	1.3599864016154124	1.6326226946386857	
Selenop	Endo	0	122	2.981229113302968	3.589237795810952	
Ly6a	Endo	0	123	11.200087828866426	13.48796300528777	
B2m	Endo	0	124	2.3088891380444547	2.7846903091626527	
H2-D1	Endo	0	125	2.385703131339599	2.8779976102613642	
Klf6	Endo	0	126	1.7501356110919142	2.112949938586287	
Pde8a	Endo	0	127	1.1316080815328986	1.3669316868057428	
Gch1	Endo	0	128	1.2219575311493305	1.4790872267185344	
BC028528	Endo	0	129	1.3869604140071268	1.686675594419948	
Jun	Endo	0	130	1.7004901067600557	2.077179915723439	
Slc30a1	Endo	0	131	1.2673716180018548	1.5499803756994066	
Xdh	Endo	0	132	1.6365046177822427	2.014220911882365	
Clic1	Endo	0	133	1.4487054811956819	1.7859046891048593	
Ptprz1	OPC	0	1	27.27347904297389	10.705867414818156	
Epn2	OPC	0	2	16.06006762158794	6.572179491756032	
Lhfpl3	OPC	0	3	44.789157972024036	19.29287286462972	
Tnr	OPC	0	4	42.21462701150892	19.09526386334939	
Sgcd	OPC	0	5	14.033308071220722	6.628385492992599	
Gpc5	OPC	0	6	36.33121396469281	17.263362410846373	
Vcan	OPC	0	7	10.733107146534259	5.585507069741795	
Nckap5	OPC	0	8	7.443291611404093	4.062274682758775	
Cspg5	OPC	0	9	8.366963470289411	4.767141521338107	
Pdgfra	OPC	0	10	7.89854517014311	4.515214066659557	
Sh3d19	OPC	0	11	5.919017267324684	3.4923357566379014	
Megf11	OPC	0	12	6.961398890662339	4.18523462378589	
Gm4876	OPC	0	13	10.049231018086301	6.1121240067809195	
Chst11	OPC	0	14	6.804587252996446	4.145562764330108	
Zfp462	OPC	0	15	7.429460557396954	4.558419632547835	
Maml2	OPC	0	16	10.910780037164054	6.760465525778935	
Cacng4	OPC	0	17	5.983731593282229	3.721038758227646	
Emid1	OPC	0	18	4.621387479034855	2.905390240075877	
Bcan	OPC	0	19	2.819727724421578	1.9189009482824926	
Sox10	OPC	0	20	2.9113500350459915	1.9907943101137144	
Gjc3	OPC	0	21	3.754204465791402	2.5924347512871426	
Itpr2	OPC	0	22	3.832494128768501	2.675623967028972	
Sema3d	OPC	0	23	3.7472650967018506	2.6940495943929696	
Pde7b	OPC	0	24	3.994652307090912	2.9242652131338827	
Cspg4	OPC	0	25	2.565898271564189	1.905537311308859	
Kank1	OPC	0	26	3.801320578833392	2.824471839756436	
Unc13c	OPC	0	27	4.77918405342146	3.6387069531074605	
Myt1	OPC	0	28	2.830635445812971	2.155203767720637	
Plpp4	OPC	0	29	3.1042224838943864	2.408962021693422	
C1ql1	OPC	0	30	2.464822266568051	1.9318183032041292	
Plpp3	OPC	0	31	3.0163149550889097	2.370105115092382	
Cdo1	OPC	0	32	2.308286177072049	1.8138847568670822	
Chd7	OPC	0	33	2.051227761981213	1.620173268085363	
Stk32a	OPC	0	34	3.7004449298721784	2.9400947049125294	
